Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.015189,0.059154,0.000100,0.065311,0.066663,0.003789,5.962463,1.638098,1.625948
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.015626,0.053032,0.000095,0.057069,0.059589,0.003902,5.332538,1.416643,1.448338
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.012328,0.050842,0.000105,0.054159,0.054275,0.003075,5.186029,1.346659,1.311557
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.014423,0.096966,0.000100,0.109870,0.112877,0.003599,9.826526,2.731295,2.706051
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.018826,0.076051,0.000086,0.073626,0.071767,0.004689,7.588286,1.828057,1.733499
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.019958,0.090704,0.000110,0.079058,0.078420,0.004981,9.155887,1.966261,1.905892
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.067680,0.119930,0.000081,0.201511,0.207769,0.002000,5.823260,1.055440,1.081040
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.066822,0.134959,0.000080,0.186218,0.197809,0.001974,6.560875,0.999212,1.033887
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.065967,0.121224,0.000075,0.168339,0.173297,0.001965,5.765174,0.884624,0.896876
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.039641,0.120586,0.000070,0.159827,0.161600,0.001178,5.867484,0.836605,0.833911
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.034992,0.117300,0.000080,0.184663,0.178753,0.001035,5.807745,0.962774,0.927764
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.048623,0.128481,0.000075,0.212162,0.212533,0.001449,6.331007,1.120062,1.104879
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.024182,0.079377,0.000075,0.091862,0.087939,0.006053,2.214501,1.094191,1.008576
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.019888,0.150259,0.000091,0.138806,0.144852,0.004966,1.602824,0.847988,0.860908
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.018255,0.116784,0.000070,0.135059,0.134233,0.004538,1.258427,0.825017,0.794939
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.017839,0.316807,0.000076,0.368942,0.371328,0.004443,2.273208,1.647160,1.617470
tri3_tex8_grey_cubic_bspline_lut_lerp_zoom,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.018556,0.116179,0.000111,0.124530,0.122600,0.004605,1.274368,0.772896,0.734117
tri3_tex8_grey_quintic_bspline_lut_lerp_zoom,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.020315,0.325960,0.000090,0.360051,0.362145,0.005031,2.261576,1.575707,1.547825
tri3_tex8_rgb_linear_direct_zoom,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.027221,0.160427,0.000071,0.171506,0.165452,0.000813,2.625157,0.584881,0.553563
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.074704,0.213660,0.000061,0.285603,0.292747,0.002248,1.263622,0.582181,0.586732
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.081772,0.314058,0.000060,0.359704,0.369915,0.002443,1.979209,0.759055,0.766984
tri3_tex8_rgb_lanczos3_lut_lerp_zoom,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.082264,0.233308,0.000070,0.320084,0.330709,0.002460,0.692553,0.417672,0.425879
