Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,6.071392,4.275370,0.003567,9.263639,9.602811,1.007772,538.818687,228.096174,224.696726
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,6.384044,3.698781,0.000732,9.748543,9.870095,1.008675,534.501218,228.111165,224.591790
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,6.254875,3.666999,0.000962,9.554977,9.674338,1.006307,534.395712,227.786120,224.088820
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.829244,3.708780,0.000801,8.511743,8.645750,0.996562,535.232159,225.446610,221.857236
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,6.562907,3.654375,0.000712,9.681323,9.807374,0.997875,542.674940,226.029597,222.193430
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,5.969324,5.486507,0.000972,9.615895,9.744453,0.997885,538.708023,225.984838,222.269516
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,14.196460,4.622196,0.000942,18.515332,25.755091,0.345048,409.405896,102.175945,101.236336
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,15.419280,4.604591,0.000881,19.613974,19.757339,0.345246,406.641058,101.840046,100.973511
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,14.895102,6.364404,0.000862,19.684538,19.874385,0.345586,408.455019,101.743890,100.866812
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,14.603801,5.973893,0.000832,18.946919,19.072702,0.344855,412.543807,101.939520,101.083450
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,14.449183,6.375555,0.010560,18.584411,18.719021,0.345320,409.703101,101.865397,101.034403
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,14.243199,6.208804,0.001222,18.539627,26.257330,0.345383,408.350669,102.184729,101.307198
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,4050.000000,1935.000000,1600000.000000,786712.000000,4.968320,7.327985,0.000891,11.462754,11.721770,0.990511,328.990792,178.150449,173.823052
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,4.369829,8.178650,0.000861,12.444660,12.686203,0.989740,221.408546,140.925917,138.104403
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,6.405032,8.714018,0.000942,14.157753,14.396942,0.989388,225.928325,141.979532,139.177925
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,4.757764,11.335317,0.000802,15.477069,15.713802,0.990989,184.073162,124.756452,122.535157
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,6.436731,9.621663,0.000831,14.145879,14.390919,0.989866,226.114852,142.910122,139.699900
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.356113,11.623671,0.000772,15.751854,15.995884,0.993679,184.633955,125.059032,122.819013
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,4050.000000,1935.000000,1600000.000000,786712.000000,14.627854,8.635707,0.000982,21.800690,22.094965,0.344941,251.422857,88.096728,86.933168
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,14.788092,10.676479,0.000982,24.805414,25.053631,0.345737,167.851066,75.175206,74.305094
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,14.956345,12.331880,0.000892,24.994667,25.238024,0.344604,169.265312,75.383943,74.528283
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,15.160666,16.280017,0.000742,29.105936,29.353031,0.344039,122.532079,64.294815,63.662867
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,14.518983,11.668324,0.000802,25.124333,25.368953,0.352903,170.840733,75.951612,75.098706
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,12.585165,16.119688,0.001172,27.722535,27.975511,0.349542,121.623050,64.623279,63.992784
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,4050.000000,1935.000000,1600000.000000,786712.000000,7.114120,3.953909,0.000801,10.743675,10.902992,0.998776,491.685445,218.127009,214.579640
